Sat0_1:62:4:('1 Jun 2023 16:06:19.928', '1 Jun 2023 16:08:42.470')
Sat0_1:62:5:('2 Jun 2023 09:08:21.494', '2 Jun 2023 09:09:29.899')
Sat0_1:62:6:('2 Jun 2023 10:45:08.346', '2 Jun 2023 10:49:24.919')
Sat0_1:62:7:('2 Jun 2023 12:24:29.876', '2 Jun 2023 12:27:56.775')
Sat0_1:62:8:('2 Jun 2023 14:03:13.996', '2 Jun 2023 14:07:17.057')
Sat0_1:62:9:('2 Jun 2023 15:42:03.945', '2 Jun 2023 15:45:34.459')
Sat0_1:62:10:('3 Jun 2023 10:21:19.143', '3 Jun 2023 10:25:37.627')
Sat0_1:62:11:('3 Jun 2023 12:00:32.810', '3 Jun 2023 12:04:06.668')
Sat0_1:62:12:('3 Jun 2023 13:39:28.501', '3 Jun 2023 13:43:19.195')
Sat0_1:62:13:('3 Jun 2023 15:18:04.067', '3 Jun 2023 15:22:06.549')
Sat0_1:62:14:('4 Jun 2023 09:57:36.392', '4 Jun 2023 10:01:47.234')
Sat0_1:62:15:('4 Jun 2023 11:36:34.339', '4 Jun 2023 11:40:19.089')
Sat0_1:62:16:('4 Jun 2023 13:15:41.833', '4 Jun 2023 13:19:20.549')
Sat0_1:62:17:('4 Jun 2023 14:54:11.457', '4 Jun 2023 14:58:27.711')
Sat0_1:62:18:('5 Jun 2023 09:34:02.666', '5 Jun 2023 09:37:51.401')
Sat0_1:62:19:('5 Jun 2023 11:12:35.907', '5 Jun 2023 11:16:33.159')
Sat0_1:62:20:('5 Jun 2023 12:51:53.024', '5 Jun 2023 12:55:22.643')
Sat0_1:62:21:('5 Jun 2023 14:30:22.896', '5 Jun 2023 14:34:41.347')
Sat0_1:62:22:('6 Jun 2023 09:10:43.123', '6 Jun 2023 09:13:45.120')
Sat0_1:62:23:('6 Jun 2023 10:48:39.065', '6 Jun 2023 10:52:47.862')
Sat0_1:62:24:('6 Jun 2023 12:28:01.382', '6 Jun 2023 12:31:26.785')
Sat0_1:62:25:('6 Jun 2023 14:06:36.592', '6 Jun 2023 14:10:49.520')
Sat0_1:62:26:('6 Jun 2023 15:45:55.490', '6 Jun 2023 15:48:21.705')
Sat0_1:62:27:('7 Jun 2023 08:48:04.009', '7 Jun 2023 08:49:02.249')
Sat0_1:62:28:('7 Jun 2023 10:24:45.357', '7 Jun 2023 10:29:02.127')
Sat0_1:62:29:('7 Jun 2023 12:04:06.731', '7 Jun 2023 12:07:33.794')
Sat0_1:62:30:('7 Jun 2023 13:42:51.240', '7 Jun 2023 13:46:53.876')
Sat0_1:62:31:('7 Jun 2023 15:21:40.468', '7 Jun 2023 15:25:12.596')
Sat0_1:62:32:('8 Jun 2023 10:00:56.354', '8 Jun 2023 10:05:14.751')
Sat0_1:62:33:('8 Jun 2023 11:40:09.592', '8 Jun 2023 11:43:43.791')
Sat0_1:62:34:('8 Jun 2023 13:19:05.722', '8 Jun 2023 13:22:55.958')
Sat0_1:62:35:('8 Jun 2023 14:57:40.945', '8 Jun 2023 15:01:44.192')
Sat0_1:62:36:('9 Jun 2023 09:37:13.879', '9 Jun 2023 09:41:24.209')
Sat0_1:62:37:('9 Jun 2023 11:16:11.096', '9 Jun 2023 11:19:56.283')
Sat0_1:62:38:('9 Jun 2023 12:55:18.993', '9 Jun 2023 12:58:57.312')
Sat0_1:62:39:('9 Jun 2023 14:33:48.521', '9 Jun 2023 14:38:05.034')
Sat0_1:62:40:('10 Jun 2023 09:13:40.548', '10 Jun 2023 09:17:28.115')
Sat0_1:62:41:('10 Jun 2023 10:52:12.695', '10 Jun 2023 10:56:10.396')
Sat0_1:62:42:('10 Jun 2023 12:31:30.091', '10 Jun 2023 12:34:59.461')
Sat0_1:62:43:('10 Jun 2023 14:10:00.073', '10 Jun 2023 14:14:18.439')
Sat0_1:62:44:('11 Jun 2023 08:50:21.713', '11 Jun 2023 08:53:21.264')
Sat0_1:62:45:('11 Jun 2023 10:28:15.941', '11 Jun 2023 10:32:25.107')
Sat0_1:62:46:('11 Jun 2023 12:07:38.340', '11 Jun 2023 12:11:03.697')
Sat0_1:62:47:('11 Jun 2023 13:46:13.826', '11 Jun 2023 13:50:26.446')
Sat0_1:62:48:('11 Jun 2023 15:25:31.115', '11 Jun 2023 15:28:00.870')
Sat0_1:62:49:('12 Jun 2023 08:27:47.717', '12 Jun 2023 08:28:33.418')
Sat0_1:62:50:('12 Jun 2023 10:04:22.376', '12 Jun 2023 10:08:39.333')
Sat0_1:62:51:('12 Jun 2023 11:43:43.585', '12 Jun 2023 11:47:10.817')
Sat0_1:62:52:('12 Jun 2023 13:22:28.487', '12 Jun 2023 13:26:30.693')
Sat0_1:62:53:('12 Jun 2023 15:01:17.009', '12 Jun 2023 15:04:50.704')
Sat0_1:62:54:('13 Jun 2023 09:40:33.576', '13 Jun 2023 09:44:51.872')
Sat0_1:62:55:('13 Jun 2023 11:19:46.374', '13 Jun 2023 11:23:20.918')
Sat0_1:62:56:('13 Jun 2023 12:58:42.943', '13 Jun 2023 13:02:32.722')
Sat0_1:62:57:('13 Jun 2023 14:37:17.833', '13 Jun 2023 14:41:21.824')
Sat0_1:62:58:('14 Jun 2023 09:16:51.379', '14 Jun 2023 09:21:01.179')
Sat0_1:62:59:('14 Jun 2023 10:55:47.855', '14 Jun 2023 10:59:33.489')
Sat0_1:62:60:('14 Jun 2023 12:34:56.151', '14 Jun 2023 12:38:34.078')
Sat0_1:62:61:('14 Jun 2023 14:13:25.596', '14 Jun 2023 14:17:42.349')
Sat0_2:61:0:('1 Jun 2023 09:21:36.009', '1 Jun 2023 09:24:00.481')
Sat0_2:61:1:('1 Jun 2023 10:59:07.097', '1 Jun 2023 11:03:20.169')
Sat0_2:61:2:('1 Jun 2023 12:38:29.821', '1 Jun 2023 12:41:55.247')
Sat0_2:61:3:('1 Jun 2023 14:17:08.901', '1 Jun 2023 14:21:17.520')
Sat0_2:61:4:('1 Jun 2023 15:56:11.132', '1 Jun 2023 15:59:14.276')
Sat0_2:61:5:('2 Jun 2023 10:35:15.350', '2 Jun 2023 10:39:33.838')
Sat0_2:61:6:('2 Jun 2023 12:14:33.919', '2 Jun 2023 12:18:03.658')
Sat0_2:61:7:('2 Jun 2023 13:53:23.609', '2 Jun 2023 13:57:20.643')
Sat0_2:61:8:('2 Jun 2023 15:32:05.115', '2 Jun 2023 15:35:54.404')
Sat0_2:61:9:('3 Jun 2023 10:11:29.099', '3 Jun 2023 10:15:45.226')
Sat0_2:61:10:('3 Jun 2023 11:50:35.989', '3 Jun 2023 11:54:14.896')
Sat0_2:61:11:('3 Jun 2023 13:29:37.660', '3 Jun 2023 13:33:22.197')
Sat0_2:61:12:('3 Jun 2023 15:08:09.406', '3 Jun 2023 15:12:20.486')
Sat0_2:61:13:('4 Jun 2023 09:47:50.414', '4 Jun 2023 09:51:52.520')
Sat0_2:61:14:('4 Jun 2023 11:26:37.341', '4 Jun 2023 11:30:28.256')
Sat0_2:61:15:('4 Jun 2023 13:05:50.035', '4 Jun 2023 13:09:23.732')
Sat0_2:61:16:('4 Jun 2023 14:44:19.085', '4 Jun 2023 14:48:37.606')
Sat0_2:61:17:('5 Jun 2023 09:24:22.745', '5 Jun 2023 09:27:52.472')
Sat0_2:61:18:('5 Jun 2023 11:02:39.507', '5 Jun 2023 11:06:42.774')
Sat0_2:61:19:('5 Jun 2023 12:41:59.882', '5 Jun 2023 12:45:26.706')
Sat0_2:61:20:('5 Jun 2023 14:20:31.830', '5 Jun 2023 14:24:48.306')
Sat0_2:61:21:('5 Jun 2023 16:00:24.794', '5 Jun 2023 16:01:37.531')
Sat0_2:61:22:('6 Jun 2023 09:01:15.281', '6 Jun 2023 09:03:36.006')
Sat0_2:61:23:('6 Jun 2023 10:38:44.030', '6 Jun 2023 10:42:57.396')
Sat0_2:61:24:('6 Jun 2023 12:18:06.727', '6 Jun 2023 12:21:32.210')
Sat0_2:61:25:('6 Jun 2023 13:56:46.145', '6 Jun 2023 14:00:54.389')
Sat0_2:61:26:('6 Jun 2023 15:35:47.322', '6 Jun 2023 15:38:52.810')
Sat0_2:61:27:('7 Jun 2023 10:14:52.453', '7 Jun 2023 10:19:11.011')
Sat0_2:61:28:('7 Jun 2023 11:54:10.732', '7 Jun 2023 11:57:40.732')
Sat0_2:61:29:('7 Jun 2023 13:33:00.848', '7 Jun 2023 13:36:57.428')
Sat0_2:61:30:('7 Jun 2023 15:11:41.845', '7 Jun 2023 15:15:32.263')
Sat0_2:61:31:('8 Jun 2023 09:51:06.435', '8 Jun 2023 09:55:22.286')
Sat0_2:61:32:('8 Jun 2023 11:30:12.752', '8 Jun 2023 11:33:52.060')
Sat0_2:61:33:('8 Jun 2023 13:09:14.855', '8 Jun 2023 13:12:58.953')
Sat0_2:61:34:('8 Jun 2023 14:47:46.391', '8 Jun 2023 14:51:57.957')
Sat0_2:61:35:('9 Jun 2023 09:27:28.077', '9 Jun 2023 09:31:29.384')
