Sat0_1:40:26:('4 Jun 2023 08:20:35.485', '4 Jun 2023 08:42:42.684')
Sat0_1:40:27:('4 Jun 2023 10:35:06.224', '4 Jun 2023 10:52:02.299')
Sat0_1:40:28:('4 Jun 2023 12:52:03.261', '4 Jun 2023 13:04:58.927')
Sat0_1:40:29:('4 Jun 2023 15:03:18.480', '4 Jun 2023 15:22:15.964')
Sat0_1:40:30:('4 Jun 2023 17:12:22.313', '4 Jun 2023 17:34:56.201')
Sat0_1:40:31:('4 Jun 2023 19:21:40.254', '4 Jun 2023 19:40:55.897')
Sat0_1:40:32:('5 Jun 2023 05:31:00.719', '5 Jun 2023 05:50:13.474')
Sat0_1:40:33:('5 Jun 2023 07:36:57.760', '5 Jun 2023 07:59:31.825')
Sat0_1:40:34:('5 Jun 2023 09:49:35.678', '5 Jun 2023 10:08:35.458')
Sat0_1:40:35:('5 Jun 2023 12:06:52.405', '5 Jun 2023 12:19:48.947')
Sat0_1:40:36:('5 Jun 2023 14:19:51.382', '5 Jun 2023 14:36:44.872')
Sat0_1:40:37:('5 Jun 2023 16:29:11.456', '5 Jun 2023 16:51:17.753')
Sat0_1:40:38:('5 Jun 2023 18:38:14.863', '5 Jun 2023 18:59:24.920')
Sat0_1:40:39:('5 Jun 2023 20:49:40.269', '5 Jun 2023 20:58:53.932')
Sat0_2:40:0:('1 Jun 2023 05:58:06.464', '1 Jun 2023 06:18:00.573')
Sat0_2:40:1:('1 Jun 2023 08:04:43.483', '1 Jun 2023 08:27:13.215')
Sat0_2:40:2:('1 Jun 2023 10:17:56.625', '1 Jun 2023 10:36:20.409')
Sat0_2:40:3:('1 Jun 2023 12:35:14.973', '1 Jun 2023 12:48:01.836')
Sat0_2:40:4:('1 Jun 2023 14:47:39.105', '1 Jun 2023 15:05:11.806')
Sat0_2:40:5:('1 Jun 2023 16:56:52.832', '1 Jun 2023 17:19:11.355')
Sat0_2:40:6:('1 Jun 2023 19:05:59.535', '1 Jun 2023 19:26:40.610')
Sat0_2:40:7:('1 Jun 2023 21:18:25.649', '1 Jun 2023 21:24:31.892')
Sat0_2:40:8:('2 Jun 2023 05:17:10.739', '2 Jun 2023 05:34:24.975')
Sat0_2:40:9:('2 Jun 2023 07:21:30.978', '2 Jun 2023 07:44:01.770')
Sat0_2:40:10:('2 Jun 2023 09:32:47.184', '2 Jun 2023 09:53:00.733')
Sat0_2:40:11:('2 Jun 2023 11:49:37.508', '2 Jun 2023 12:03:23.268')
Sat0_2:40:12:('2 Jun 2023 14:04:00.910', '2 Jun 2023 14:19:24.848')
Sat0_2:40:13:('2 Jun 2023 16:13:41.465', '2 Jun 2023 16:35:07.795')
Sat0_2:40:14:('2 Jun 2023 18:22:40.424', '2 Jun 2023 18:44:39.615')
Sat0_2:40:15:('2 Jun 2023 20:32:58.313', '2 Jun 2023 20:46:38.468')
Sat0_2:40:16:('3 Jun 2023 04:37:20.158', '3 Jun 2023 04:50:20.867')
Sat0_2:40:17:('3 Jun 2023 06:38:55.557', '3 Jun 2023 07:00:47.516')
Sat0_2:40:18:('3 Jun 2023 08:48:12.206', '3 Jun 2023 09:09:46.983')
Sat0_2:40:19:('3 Jun 2023 11:03:43.284', '3 Jun 2023 11:19:23.117')
Sat0_2:40:20:('3 Jun 2023 13:19:56.705', '3 Jun 2023 13:33:31.144')
Sat0_2:40:21:('3 Jun 2023 15:30:27.182', '3 Jun 2023 15:50:28.353')
Sat0_2:40:22:('3 Jun 2023 17:39:26.665', '3 Jun 2023 18:01:59.436')
Sat0_2:40:23:('3 Jun 2023 19:48:59.446', '3 Jun 2023 20:06:37.916')
Sat0_2:40:24:('4 Jun 2023 04:00:08.972', '4 Jun 2023 04:04:16.321')
Sat0_2:40:25:('4 Jun 2023 05:56:59.772', '4 Jun 2023 06:17:27.457')
Sat0_2:40:26:('4 Jun 2023 08:04:13.184', '4 Jun 2023 08:26:35.789')
Sat0_2:40:27:('4 Jun 2023 10:17:58.665', '4 Jun 2023 10:35:47.288')
Sat0_2:40:28:('4 Jun 2023 12:35:12.506', '4 Jun 2023 12:47:57.761')
Sat0_2:40:29:('4 Jun 2023 14:47:06.429', '4 Jun 2023 15:05:14.846')
Sat0_2:40:30:('4 Jun 2023 16:56:15.404', '4 Jun 2023 17:18:42.350')
Sat0_2:40:31:('4 Jun 2023 19:05:26.029', '4 Jun 2023 19:25:35.546')
Sat0_2:40:32:('5 Jun 2023 05:15:49.317', '5 Jun 2023 05:33:56.532')
Sat0_2:40:33:('5 Jun 2023 07:20:50.327', '5 Jun 2023 07:43:24.713')
Sat0_2:40:34:('5 Jun 2023 09:32:40.156', '5 Jun 2023 09:52:25.050')
Sat0_2:40:35:('5 Jun 2023 11:49:44.809', '5 Jun 2023 12:03:06.343')
Sat0_2:40:36:('5 Jun 2023 14:03:33.342', '5 Jun 2023 14:19:33.556')
Sat0_2:40:37:('5 Jun 2023 16:13:04.377', '5 Jun 2023 16:34:49.067')
Sat0_2:40:38:('5 Jun 2023 18:22:04.669', '5 Jun 2023 18:43:46.469')
Sat0_2:40:39:('5 Jun 2023 20:32:44.040', '5 Jun 2023 20:44:50.467')
Sat0_3:40:0:('1 Jun 2023 05:42:48.635', '1 Jun 2023 06:01:45.634')
Sat0_3:40:1:('1 Jun 2023 07:48:31.504', '1 Jun 2023 08:11:06.264')
Sat0_3:40:2:('1 Jun 2023 10:00:57.090', '1 Jun 2023 10:20:08.890')
Sat0_3:40:3:('1 Jun 2023 12:18:11.753', '1 Jun 2023 12:31:13.485')
Sat0_3:40:4:('1 Jun 2023 14:31:23.288', '1 Jun 2023 14:48:03.038')
Sat0_3:40:5:('1 Jun 2023 16:40:45.903', '1 Jun 2023 17:02:47.190')
Sat0_3:40:6:('1 Jun 2023 18:49:48.366', '1 Jun 2023 19:11:07.383')
Sat0_3:40:7:('1 Jun 2023 21:00:59.436', '1 Jun 2023 21:11:03.440')
Sat0_3:40:8:('2 Jun 2023 05:02:16.461', '2 Jun 2023 05:18:01.267')
Sat0_3:40:9:('2 Jun 2023 07:05:34.049', '2 Jun 2023 07:27:53.963')
Sat0_3:40:10:('2 Jun 2023 09:16:01.443', '2 Jun 2023 09:36:52.157')
Sat0_3:40:11:('2 Jun 2023 11:32:23.908', '2 Jun 2023 11:46:52.298')
Sat0_3:40:12:('2 Jun 2023 13:47:36.069', '2 Jun 2023 14:02:10.494')
Sat0_3:40:13:('2 Jun 2023 15:57:33.684', '2 Jun 2023 16:18:28.823')
Sat0_3:40:14:('2 Jun 2023 18:06:31.875', '2 Jun 2023 18:28:49.878')
Sat0_3:40:15:('2 Jun 2023 20:16:27.003', '2 Jun 2023 20:31:58.946')
Sat0_3:40:16:('3 Jun 2023 04:23:05.630', '3 Jun 2023 04:33:33.113')
Sat0_3:40:17:('3 Jun 2023 06:23:14.458', '3 Jun 2023 06:44:37.763')
Sat0_3:40:18:('3 Jun 2023 08:31:41.165', '3 Jun 2023 08:53:39.791')
Sat0_3:40:19:('3 Jun 2023 10:46:30.904', '3 Jun 2023 11:03:03.754')
Sat0_3:40:20:('3 Jun 2023 13:03:16.979', '3 Jun 2023 13:16:21.658')
Sat0_3:40:21:('3 Jun 2023 15:14:17.274', '3 Jun 2023 15:33:35.006')
Sat0_3:40:22:('3 Jun 2023 17:23:19.435', '3 Jun 2023 17:45:54.384')
Sat0_3:40:23:('3 Jun 2023 19:32:41.272', '3 Jun 2023 19:51:30.080')
Sat0_3:40:24:('4 Jun 2023 05:41:36.334', '4 Jun 2023 06:01:14.057')
Sat0_3:40:25:('4 Jun 2023 07:47:56.974', '4 Jun 2023 08:10:28.912')
Sat0_3:40:26:('4 Jun 2023 10:00:55.623', '4 Jun 2023 10:19:34.514')
Sat0_3:40:27:('4 Jun 2023 12:18:14.095', '4 Jun 2023 12:31:03.985')
Sat0_3:40:28:('4 Jun 2023 14:30:52.353', '4 Jun 2023 14:48:08.945')
Sat0_3:40:29:('4 Jun 2023 16:40:08.535', '4 Jun 2023 17:02:22.403')
Sat0_3:40:30:('4 Jun 2023 18:49:13.769', '4 Jun 2023 19:10:07.405')
Sat0_3:40:31:('4 Jun 2023 21:01:09.944', '4 Jun 2023 21:08:43.996')
Sat0_3:40:32:('5 Jun 2023 05:00:47.503', '5 Jun 2023 05:17:36.066')
Sat0_3:40:33:('5 Jun 2023 07:04:49.067', '5 Jun 2023 07:27:17.244')
Sat0_3:40:34:('5 Jun 2023 09:15:50.336', '5 Jun 2023 09:36:15.825')
Sat0_3:40:35:('5 Jun 2023 11:32:32.948', '5 Jun 2023 11:46:30.935')
Sat0_3:40:36:('5 Jun 2023 13:47:11.609', '5 Jun 2023 14:02:19.912')
Sat0_3:40:37:('5 Jun 2023 15:56:56.953', '5 Jun 2023 16:18:14.299')
Sat0_3:40:38:('5 Jun 2023 18:05:55.533', '5 Jun 2023 18:28:01.267')
Sat0_3:40:39:('5 Jun 2023 20:16:05.592', '5 Jun 2023 20:30:22.586')
Sat0_4:40:0:('1 Jun 2023 05:27:39.585', '1 Jun 2023 05:45:27.889')
Sat0_4:40:1:('1 Jun 2023 07:32:25.656', '1 Jun 2023 07:54:59.076')
Sat0_4:40:2:('1 Jun 2023 09:44:03.013', '1 Jun 2023 10:03:58.819')
Sat0_4:40:3:('1 Jun 2023 12:01:02.868', '1 Jun 2023 12:14:32.810')
Sat0_4:40:4:('1 Jun 2023 14:15:04.379', '1 Jun 2023 14:30:50.992')
