Sat0_0:159:66:('6 Jun 2023 20:05:26.167', '6 Jun 2023 20:26:41.984')
Sat0_0:159:67:('6 Jun 2023 22:12:28.309', '6 Jun 2023 22:33:44.126')
Sat0_0:159:68:('7 Jun 2023 00:19:30.450', '7 Jun 2023 00:40:46.267')
Sat0_0:159:69:('7 Jun 2023 02:26:32.591', '7 Jun 2023 02:47:48.408')
Sat0_0:159:70:('7 Jun 2023 04:33:34.732', '7 Jun 2023 04:54:50.549')
Sat0_0:159:71:('7 Jun 2023 06:40:36.873', '7 Jun 2023 07:01:52.690')
Sat0_0:159:72:('7 Jun 2023 08:47:39.014', '7 Jun 2023 09:08:54.832')
Sat0_0:159:73:('7 Jun 2023 10:54:41.156', '7 Jun 2023 11:15:56.973')
Sat0_0:159:74:('7 Jun 2023 13:01:43.297', '7 Jun 2023 13:22:59.114')
Sat0_0:159:75:('7 Jun 2023 15:08:45.438', '7 Jun 2023 15:30:01.255')
Sat0_0:159:76:('7 Jun 2023 17:15:47.579', '7 Jun 2023 17:37:03.396')
Sat0_0:159:77:('7 Jun 2023 19:22:49.720', '7 Jun 2023 19:44:05.538')
Sat0_0:159:78:('7 Jun 2023 21:29:51.862', '7 Jun 2023 21:51:07.679')
Sat0_0:159:79:('7 Jun 2023 23:36:54.003', '7 Jun 2023 23:58:09.820')
Sat0_0:159:80:('8 Jun 2023 01:43:56.144', '8 Jun 2023 02:05:11.961')
Sat0_0:159:81:('8 Jun 2023 03:50:58.285', '8 Jun 2023 04:12:14.103')
Sat0_0:159:82:('8 Jun 2023 05:58:00.427', '8 Jun 2023 06:19:16.244')
Sat0_0:159:83:('8 Jun 2023 08:05:02.568', '8 Jun 2023 08:26:18.385')
Sat0_0:159:84:('8 Jun 2023 10:12:04.709', '8 Jun 2023 10:33:20.526')
Sat0_0:159:85:('8 Jun 2023 12:19:06.850', '8 Jun 2023 12:40:22.668')
Sat0_0:159:86:('8 Jun 2023 14:26:08.991', '8 Jun 2023 14:47:24.809')
Sat0_0:159:87:('8 Jun 2023 16:33:11.133', '8 Jun 2023 16:54:26.950')
Sat0_0:159:88:('8 Jun 2023 18:40:13.274', '8 Jun 2023 19:01:29.091')
Sat0_0:159:89:('8 Jun 2023 20:47:15.415', '8 Jun 2023 21:08:31.232')
Sat0_0:159:90:('8 Jun 2023 22:54:17.556', '8 Jun 2023 23:15:33.374')
Sat0_0:159:91:('9 Jun 2023 01:01:19.697', '9 Jun 2023 01:22:35.515')
Sat0_0:159:92:('9 Jun 2023 03:08:21.839', '9 Jun 2023 03:29:37.656')
Sat0_0:159:93:('9 Jun 2023 05:15:23.980', '9 Jun 2023 05:36:39.797')
Sat0_0:159:94:('9 Jun 2023 07:22:26.121', '9 Jun 2023 07:43:41.939')
Sat0_0:159:95:('9 Jun 2023 09:29:28.262', '9 Jun 2023 09:50:44.080')
Sat0_0:159:96:('9 Jun 2023 11:36:30.404', '9 Jun 2023 11:57:46.221')
Sat0_0:159:97:('9 Jun 2023 13:43:32.545', '9 Jun 2023 14:04:48.362')
Sat0_0:159:98:('9 Jun 2023 15:50:34.686', '9 Jun 2023 16:11:50.504')
Sat0_0:159:99:('9 Jun 2023 17:57:36.827', '9 Jun 2023 18:18:52.645')
Sat0_0:159:100:('9 Jun 2023 20:04:38.969', '9 Jun 2023 20:25:54.786')
Sat0_0:159:101:('9 Jun 2023 22:11:41.110', '9 Jun 2023 22:32:56.927')
Sat0_0:159:102:('10 Jun 2023 00:18:43.251', '10 Jun 2023 00:39:59.069')
Sat0_0:159:103:('10 Jun 2023 02:25:45.392', '10 Jun 2023 02:47:01.210')
Sat0_0:159:104:('10 Jun 2023 04:32:47.533', '10 Jun 2023 04:54:03.351')
Sat0_0:159:105:('10 Jun 2023 06:39:49.675', '10 Jun 2023 07:01:05.492')
Sat0_0:159:106:('10 Jun 2023 08:46:51.816', '10 Jun 2023 09:08:07.634')
Sat0_0:159:107:('10 Jun 2023 10:53:53.957', '10 Jun 2023 11:15:09.775')
Sat0_0:159:108:('10 Jun 2023 13:00:56.098', '10 Jun 2023 13:22:11.916')
Sat0_0:159:109:('10 Jun 2023 15:07:58.240', '10 Jun 2023 15:29:14.057')
Sat0_0:159:110:('10 Jun 2023 17:15:00.381', '10 Jun 2023 17:36:16.199')
Sat0_0:159:111:('10 Jun 2023 19:22:02.522', '10 Jun 2023 19:43:18.340')
Sat0_0:159:112:('10 Jun 2023 21:29:04.663', '10 Jun 2023 21:50:20.481')
Sat0_0:159:113:('10 Jun 2023 23:36:06.805', '10 Jun 2023 23:57:22.622')
Sat0_0:159:114:('11 Jun 2023 01:43:08.946', '11 Jun 2023 02:04:24.764')
Sat0_0:159:115:('11 Jun 2023 03:50:11.087', '11 Jun 2023 04:11:26.905')
Sat0_0:159:116:('11 Jun 2023 05:57:13.228', '11 Jun 2023 06:18:29.046')
Sat0_0:159:117:('11 Jun 2023 08:04:15.370', '11 Jun 2023 08:25:31.187')
Sat0_0:159:118:('11 Jun 2023 10:11:17.511', '11 Jun 2023 10:32:33.329')
Sat0_0:159:119:('11 Jun 2023 12:18:19.652', '11 Jun 2023 12:39:35.470')
Sat0_0:159:120:('11 Jun 2023 14:25:21.793', '11 Jun 2023 14:46:37.611')
Sat0_0:159:121:('11 Jun 2023 16:32:23.935', '11 Jun 2023 16:53:39.752')
Sat0_0:159:122:('11 Jun 2023 18:39:26.076', '11 Jun 2023 19:00:41.894')
Sat0_0:159:123:('11 Jun 2023 20:46:28.217', '11 Jun 2023 21:07:44.035')
Sat0_0:159:124:('11 Jun 2023 22:53:30.358', '11 Jun 2023 23:14:46.176')
Sat0_0:159:125:('12 Jun 2023 01:00:32.500', '12 Jun 2023 01:21:48.317')
Sat0_0:159:126:('12 Jun 2023 03:07:34.641', '12 Jun 2023 03:28:50.459')
Sat0_0:159:127:('12 Jun 2023 05:14:36.782', '12 Jun 2023 05:35:52.600')
Sat0_0:159:128:('12 Jun 2023 07:21:38.923', '12 Jun 2023 07:42:54.741')
Sat0_0:159:129:('12 Jun 2023 09:28:41.065', '12 Jun 2023 09:49:56.882')
Sat0_0:159:130:('12 Jun 2023 11:35:43.206', '12 Jun 2023 11:56:59.024')
Sat0_0:159:131:('12 Jun 2023 13:42:45.347', '12 Jun 2023 14:04:01.165')
Sat0_0:159:132:('12 Jun 2023 15:49:47.488', '12 Jun 2023 16:11:03.306')
Sat0_0:159:133:('12 Jun 2023 17:56:49.630', '12 Jun 2023 18:18:05.447')
Sat0_0:159:134:('12 Jun 2023 20:03:51.771', '12 Jun 2023 20:25:07.589')
Sat0_0:159:135:('12 Jun 2023 22:10:53.912', '12 Jun 2023 22:32:09.730')
Sat0_0:159:136:('13 Jun 2023 00:17:56.053', '13 Jun 2023 00:39:11.871')
Sat0_0:159:137:('13 Jun 2023 02:24:58.195', '13 Jun 2023 02:46:14.012')
Sat0_0:159:138:('13 Jun 2023 04:32:00.336', '13 Jun 2023 04:53:16.154')
Sat0_0:159:139:('13 Jun 2023 06:39:02.477', '13 Jun 2023 07:00:18.295')
Sat0_0:159:140:('13 Jun 2023 08:46:04.618', '13 Jun 2023 09:07:20.436')
Sat0_0:159:141:('13 Jun 2023 10:53:06.760', '13 Jun 2023 11:14:22.577')
Sat0_0:159:142:('13 Jun 2023 13:00:08.901', '13 Jun 2023 13:21:24.719')
Sat0_0:159:143:('13 Jun 2023 15:07:11.042', '13 Jun 2023 15:28:26.860')
Sat0_0:159:144:('13 Jun 2023 17:14:13.183', '13 Jun 2023 17:35:29.001')
Sat0_0:159:145:('13 Jun 2023 19:21:15.325', '13 Jun 2023 19:42:31.142')
Sat0_0:159:146:('13 Jun 2023 21:28:17.466', '13 Jun 2023 21:49:33.283')
Sat0_0:159:147:('13 Jun 2023 23:35:19.607', '13 Jun 2023 23:56:35.425')
Sat0_0:159:148:('14 Jun 2023 01:42:21.748', '14 Jun 2023 02:03:37.566')
Sat0_0:159:149:('14 Jun 2023 03:49:23.890', '14 Jun 2023 04:10:39.707')
Sat0_0:159:150:('14 Jun 2023 05:56:26.031', '14 Jun 2023 06:17:41.848')
Sat0_0:159:151:('14 Jun 2023 08:03:28.172', '14 Jun 2023 08:24:43.990')
Sat0_0:159:152:('14 Jun 2023 10:10:30.313', '14 Jun 2023 10:31:46.131')
Sat0_0:159:153:('14 Jun 2023 12:17:32.455', '14 Jun 2023 12:38:48.272')
Sat0_0:159:154:('14 Jun 2023 14:24:34.596', '14 Jun 2023 14:45:50.413')
Sat0_0:159:155:('14 Jun 2023 16:31:36.737', '14 Jun 2023 16:52:52.555')
Sat0_0:159:156:('14 Jun 2023 18:38:38.878', '14 Jun 2023 18:59:54.696')
Sat0_0:159:157:('14 Jun 2023 20:45:41.020', '14 Jun 2023 21:06:56.837')
Sat0_0:159:158:('14 Jun 2023 22:52:43.161', '14 Jun 2023 23:13:58.978')
Sat0_1:159:0:('1 Jun 2023 00:05:12.079', '1 Jun 2023 00:26:27.897')
Sat0_1:159:1:('1 Jun 2023 02:12:14.221', '1 Jun 2023 02:33:30.038')
Sat0_1:159:2:('1 Jun 2023 04:19:16.362', '1 Jun 2023 04:40:32.180')
Sat0_1:159:3:('1 Jun 2023 06:26:18.503', '1 Jun 2023 06:47:34.321')
Sat0_1:159:4:('1 Jun 2023 08:33:20.644', '1 Jun 2023 08:54:36.462')
Sat0_1:159:5:('1 Jun 2023 10:40:22.786', '1 Jun 2023 11:01:38.603')
Sat0_1:159:6:('1 Jun 2023 12:47:24.927', '1 Jun 2023 13:08:40.745')
Sat0_1:159:7:('1 Jun 2023 14:54:27.068', '1 Jun 2023 15:15:42.886')
Sat0_1:159:8:('1 Jun 2023 17:01:29.209', '1 Jun 2023 17:22:45.027')
Sat0_1:159:9:('1 Jun 2023 19:08:31.351', '1 Jun 2023 19:29:47.168')
Sat0_1:159:10:('1 Jun 2023 21:15:33.492', '1 Jun 2023 21:36:49.309')
Sat0_1:159:11:('1 Jun 2023 23:22:35.633', '1 Jun 2023 23:43:51.451')
Sat0_1:159:12:('2 Jun 2023 01:29:37.774', '2 Jun 2023 01:50:53.592')
Sat0_1:159:13:('2 Jun 2023 03:36:39.916', '2 Jun 2023 03:57:55.733')
Sat0_1:159:14:('2 Jun 2023 05:43:42.057', '2 Jun 2023 06:04:57.874')
Sat0_1:159:15:('2 Jun 2023 07:50:44.198', '2 Jun 2023 08:12:00.016')
Sat0_1:159:16:('2 Jun 2023 09:57:46.339', '2 Jun 2023 10:19:02.157')
Sat0_1:159:17:('2 Jun 2023 12:04:48.481', '2 Jun 2023 12:26:04.298')
Sat0_1:159:18:('2 Jun 2023 14:11:50.622', '2 Jun 2023 14:33:06.439')
Sat0_1:159:19:('2 Jun 2023 16:18:52.763', '2 Jun 2023 16:40:08.580')
Sat0_1:159:20:('2 Jun 2023 18:25:54.904', '2 Jun 2023 18:47:10.722')
Sat0_1:159:21:('2 Jun 2023 20:32:57.045', '2 Jun 2023 20:54:12.863')
Sat0_1:159:22:('2 Jun 2023 22:39:59.187', '2 Jun 2023 23:01:15.004')
Sat0_1:159:23:('3 Jun 2023 00:47:01.328', '3 Jun 2023 01:08:17.145')
Sat0_1:159:24:('3 Jun 2023 02:54:03.469', '3 Jun 2023 03:15:19.286')
Sat0_1:159:25:('3 Jun 2023 05:01:05.610', '3 Jun 2023 05:22:21.428')
Sat0_1:159:26:('3 Jun 2023 07:08:07.752', '3 Jun 2023 07:29:23.569')
Sat0_1:159:27:('3 Jun 2023 09:15:09.893', '3 Jun 2023 09:36:25.710')
Sat0_1:159:28:('3 Jun 2023 11:22:12.034', '3 Jun 2023 11:43:27.851')
Sat0_1:159:29:('3 Jun 2023 13:29:14.175', '3 Jun 2023 13:50:29.992')
Sat0_1:159:30:('3 Jun 2023 15:36:16.316', '3 Jun 2023 15:57:32.134')
Sat0_1:159:31:('3 Jun 2023 17:43:18.458', '3 Jun 2023 18:04:34.275')
Sat0_1:159:32:('3 Jun 2023 19:50:20.599', '3 Jun 2023 20:11:36.416')
Sat0_1:159:33:('3 Jun 2023 21:57:22.740', '3 Jun 2023 22:18:38.557')
Sat0_1:159:34:('4 Jun 2023 00:04:24.881', '4 Jun 2023 00:25:40.698')
Sat0_1:159:35:('4 Jun 2023 02:11:27.023', '4 Jun 2023 02:32:42.840')
Sat0_1:159:36:('4 Jun 2023 04:18:29.164', '4 Jun 2023 04:39:44.981')
Sat0_1:159:37:('4 Jun 2023 06:25:31.305', '4 Jun 2023 06:46:47.122')
Sat0_1:159:38:('4 Jun 2023 08:32:33.446', '4 Jun 2023 08:53:49.263')
Sat0_1:159:39:('4 Jun 2023 10:39:35.587', '4 Jun 2023 11:00:51.404')
Sat0_1:159:40:('4 Jun 2023 12:46:37.729', '4 Jun 2023 13:07:53.546')
Sat0_1:159:41:('4 Jun 2023 14:53:39.870', '4 Jun 2023 15:14:55.687')
Sat0_1:159:42:('4 Jun 2023 17:00:42.011', '4 Jun 2023 17:21:57.828')
Sat0_1:159:43:('4 Jun 2023 19:07:44.152', '4 Jun 2023 19:28:59.969')
Sat0_1:159:44:('4 Jun 2023 21:14:46.293', '4 Jun 2023 21:36:02.110')
Sat0_1:159:45:('4 Jun 2023 23:21:48.435', '4 Jun 2023 23:43:04.252')
Sat0_1:159:46:('5 Jun 2023 01:28:50.576', '5 Jun 2023 01:50:06.393')
Sat0_1:159:47:('5 Jun 2023 03:35:52.717', '5 Jun 2023 03:57:08.534')
Sat0_1:159:48:('5 Jun 2023 05:42:54.858', '5 Jun 2023 06:04:10.675')
Sat0_1:159:49:('5 Jun 2023 07:49:56.999', '5 Jun 2023 08:11:12.816')
Sat0_1:159:50:('5 Jun 2023 09:56:59.141', '5 Jun 2023 10:18:14.958')
Sat0_1:159:51:('5 Jun 2023 12:04:01.282', '5 Jun 2023 12:25:17.099')
Sat0_1:159:52:('5 Jun 2023 14:11:03.423', '5 Jun 2023 14:32:19.240')
Sat0_1:159:53:('5 Jun 2023 16:18:05.564', '5 Jun 2023 16:39:21.381')
Sat0_1:159:54:('5 Jun 2023 18:25:07.705', '5 Jun 2023 18:46:23.522')
Sat0_1:159:55:('5 Jun 2023 20:32:09.847', '5 Jun 2023 20:53:25.664')
Sat0_1:159:56:('5 Jun 2023 22:39:11.988', '5 Jun 2023 23:00:27.805')
Sat0_1:159:57:('6 Jun 2023 00:46:14.129', '6 Jun 2023 01:07:29.946')
Sat0_1:159:58:('6 Jun 2023 02:53:16.270', '6 Jun 2023 03:14:32.087')
Sat0_1:159:59:('6 Jun 2023 05:00:18.411', '6 Jun 2023 05:21:34.228')
Sat0_1:159:60:('6 Jun 2023 07:07:20.553', '6 Jun 2023 07:28:36.370')
Sat0_1:159:61:('6 Jun 2023 09:14:22.694', '6 Jun 2023 09:35:38.511')
Sat0_1:159:62:('6 Jun 2023 11:21:24.835', '6 Jun 2023 11:42:40.652')
Sat0_1:159:63:('6 Jun 2023 13:28:26.976', '6 Jun 2023 13:49:42.793')
Sat0_1:159:64:('6 Jun 2023 15:35:29.117', '6 Jun 2023 15:56:44.934')
Sat0_1:159:65:('6 Jun 2023 17:42:31.258', '6 Jun 2023 18:03:47.076')
Sat0_1:159:66:('6 Jun 2023 19:49:33.400', '6 Jun 2023 20:10:49.217')
Sat0_1:159:67:('6 Jun 2023 21:56:35.541', '6 Jun 2023 22:17:51.358')
Sat0_1:159:68:('7 Jun 2023 00:03:37.682', '7 Jun 2023 00:24:53.499')
Sat0_1:159:69:('7 Jun 2023 02:10:39.823', '7 Jun 2023 02:31:55.640')
Sat0_1:159:70:('7 Jun 2023 04:17:41.964', '7 Jun 2023 04:38:57.782')
Sat0_1:159:71:('7 Jun 2023 06:24:44.106', '7 Jun 2023 06:45:59.923')
Sat0_1:159:72:('7 Jun 2023 08:31:46.247', '7 Jun 2023 08:53:02.064')
Sat0_1:159:73:('7 Jun 2023 10:38:48.388', '7 Jun 2023 11:00:04.205')
Sat0_1:159:74:('7 Jun 2023 12:45:50.529', '7 Jun 2023 13:07:06.346')
