Sat2_3's No.3 visiting period:  913.0 s
Sat2_3's No.4 visiting period:  1418.0 s
Sat2_3's No.5 visiting period:  1321.0 s
Sat2_3's No.6 visiting period:  457.0 s
Sat2_4's No.0 visiting period:  937.0 s
Sat2_4's No.1 visiting period:  1414.0 s
Sat2_4's No.2 visiting period:  1329.0 s
Sat2_4's No.3 visiting period:  76.0 s
Sat2_4's No.4 visiting period:  756.0 s
Sat2_4's No.5 visiting period:  1395.0 s
Sat2_4's No.6 visiting period:  1361.0 s
Sat2_4's No.7 visiting period:  670.0 s
Sat2_5's No.0 visiting period:  809.0 s
Sat2_5's No.1 visiting period:  1389.0 s
Sat2_5's No.2 visiting period:  1368.0 s
Sat2_5's No.3 visiting period:  564.0 s
Sat2_5's No.4 visiting period:  532.0 s
Sat2_5's No.5 visiting period:  1364.0 s
Sat2_5's No.6 visiting period:  1392.0 s
Sat2_5's No.7 visiting period:  826.0 s
Sat2_6's No.0 visiting period:  649.0 s
Sat2_6's No.1 visiting period:  1356.0 s
Sat2_6's No.2 visiting period:  1399.0 s
Sat2_6's No.3 visiting period:  777.0 s
Sat2_6's No.4 visiting period:  1323.0 s
Sat2_6's No.5 visiting period:  1415.0 s
Sat2_6's No.6 visiting period:  950.0 s
Sat2_7's No.0 visiting period:  424.0 s
Sat2_7's No.1 visiting period:  1315.0 s
Sat2_7's No.2 visiting period:  1420.0 s
Sat2_7's No.3 visiting period:  929.0 s
Sat2_7's No.4 visiting period:  1272.0 s
Sat2_7's No.5 visiting period:  1431.0 s
Sat2_7's No.6 visiting period:  1053.0 s
Sat3_0's No.0 visiting period:  1234.0 s
Sat3_0's No.1 visiting period:  970.0 s
Sat3_0's No.2 visiting period:  1418.0 s
Sat3_0's No.3 visiting period:  1314.0 s
Sat3_0's No.4 visiting period:  822.0 s
Sat3_0's No.5 visiting period:  1405.0 s
Sat3_0's No.6 visiting period:  1346.0 s
Sat3_1's No.0 visiting period:  643.0 s
Sat3_1's No.1 visiting period:  210.0 s
Sat3_1's No.2 visiting period:  849.0 s
Sat3_1's No.3 visiting period:  1397.0 s
Sat3_1's No.4 visiting period:  1356.0 s
Sat3_1's No.5 visiting period:  473.0 s
Sat3_1's No.6 visiting period:  631.0 s
Sat3_1's No.7 visiting period:  1376.0 s
Sat3_1's No.8 visiting period:  1380.0 s
Sat3_2's No.0 visiting period:  536.0 s
Sat3_2's No.1 visiting period:  698.0 s
Sat3_2's No.2 visiting period:  1367.0 s
Sat3_2's No.3 visiting period:  1390.0 s
Sat3_2's No.4 visiting period:  719.0 s
Sat3_2's No.5 visiting period:  304.0 s
Sat3_2's No.6 visiting period:  1340.0 s
Sat3_2's No.7 visiting period:  1407.0 s
Sat3_3's No.0 visiting period:  727.0 s
Sat3_3's No.1 visiting period:  497.0 s
Sat3_3's No.2 visiting period:  1328.0 s
Sat3_3's No.3 visiting period:  1413.0 s
Sat3_3's No.4 visiting period:  886.0 s
Sat3_3's No.5 visiting period:  1292.0 s
Sat3_3's No.6 visiting period:  1426.0 s
Sat3_4's No.0 visiting period:  871.0 s
Sat3_4's No.1 visiting period:  50.0 s
Sat3_4's No.2 visiting period:  1281.0 s
Sat3_4's No.3 visiting period:  1430.0 s
Sat3_4's No.4 visiting period:  1012.0 s
Sat3_4's No.5 visiting period:  1233.0 s
Sat3_4's No.6 visiting period:  1437.0 s
Sat3_5's No.0 visiting period:  988.0 s
Sat3_5's No.1 visiting period:  1223.0 s
Sat3_5's No.2 visiting period:  1438.0 s
Sat3_5's No.3 visiting period:  1112.0 s
Sat3_5's No.4 visiting period:  1162.0 s
Sat3_5's No.5 visiting period:  1440.0 s
Sat3_6's No.0 visiting period:  1084.0 s
Sat3_6's No.1 visiting period:  1153.0 s
Sat3_6's No.2 visiting period:  1439.0 s
Sat3_6's No.3 visiting period:  1193.0 s
Sat3_6's No.4 visiting period:  1073.0 s
Sat3_6's No.5 visiting period:  1435.0 s
Sat3_6's No.6 visiting period:  183.0 s
Sat3_7's No.0 visiting period:  1166.0 s
Sat3_7's No.1 visiting period:  1070.0 s
Sat3_7's No.2 visiting period:  1433.0 s
Sat3_7's No.3 visiting period:  1259.0 s
Sat3_7's No.4 visiting period:  962.0 s
Sat3_7's No.5 visiting period:  1424.0 s
Sat3_7's No.6 visiting period:  1115.0 s
Sat4_0's No.0 visiting period:  532.0 s
Sat4_0's No.1 visiting period:  1363.0 s
Sat4_0's No.2 visiting period:  1392.0 s
Sat4_0's No.3 visiting period:  821.0 s
Sat4_0's No.4 visiting period:  287.0 s
Sat4_0's No.5 visiting period:  1299.0 s
Sat4_0's No.6 visiting period:  1425.0 s
Sat4_0's No.7 visiting period:  972.0 s
Sat4_1's No.0 visiting period:  1322.0 s
Sat4_1's No.1 visiting period:  1415.0 s
Sat4_1's No.2 visiting period:  947.0 s
Sat4_1's No.3 visiting period:  1244.0 s
Sat4_1's No.4 visiting period:  1436.0 s
Sat4_1's No.5 visiting period:  1080.0 s
Sat4_2's No.0 visiting period:  1271.0 s
Sat4_2's No.1 visiting period:  1430.0 s
Sat4_2's No.2 visiting period:  1051.0 s
Sat4_2's No.3 visiting period:  1178.0 s
Sat4_2's No.4 visiting period:  1439.0 s
Sat4_2's No.5 visiting period:  1167.0 s
Sat4_3's No.0 visiting period:  1208.0 s
Sat4_3's No.1 visiting period:  1438.0 s
Sat4_3's No.2 visiting period:  1137.0 s
Sat4_3's No.3 visiting period:  1099.0 s
Sat4_3's No.4 visiting period:  1436.0 s
Sat4_3's No.5 visiting period:  1238.0 s
Sat4_4's No.0 visiting period:  1130.0 s
Sat4_4's No.1 visiting period:  1439.0 s
Sat4_4's No.2 visiting period:  1210.0 s
Sat4_4's No.3 visiting period:  1006.0 s
Sat4_4's No.4 visiting period:  1425.0 s
Sat4_4's No.5 visiting period:  1296.0 s
Sat4_5's No.0 visiting period:  1033.0 s
Sat4_5's No.1 visiting period:  1432.0 s
Sat4_5's No.2 visiting period:  1271.0 s
Sat4_5's No.3 visiting period:  892.0 s
Sat4_5's No.4 visiting period:  1406.0 s
Sat4_5's No.5 visiting period:  1343.0 s
Sat4_5's No.6 visiting period:  343.0 s
Sat4_6's No.0 visiting period:  912.0 s
Sat4_6's No.1 visiting period:  1417.0 s
Sat4_6's No.2 visiting period:  1320.0 s
Sat4_6's No.3 visiting period:  443.0 s
Sat4_6's No.4 visiting period:  753.0 s
Sat4_6's No.5 visiting period:  1379.0 s
Sat4_6's No.6 visiting period:  1379.0 s
Sat4_6's No.7 visiting period:  648.0 s
Sat4_7's No.0 visiting period:  756.0 s
Sat4_7's No.1 visiting period:  1394.0 s
Sat4_7's No.2 visiting period:  1360.0 s
Sat4_7's No.3 visiting period:  662.0 s
Sat4_7's No.4 visiting period:  572.0 s
Sat4_7's No.5 visiting period:  1343.0 s
Sat4_7's No.6 visiting period:  1406.0 s
Sat4_7's No.7 visiting period:  834.0 s
