Sat0_1:59:4:('1 Jun 2023 22:23:58.906', '1 Jun 2023 22:26:18.953')
Sat0_1:59:5:('2 Jun 2023 17:02:53.318', '2 Jun 2023 17:07:12.082')
Sat0_1:59:6:('2 Jun 2023 18:42:04.505', '2 Jun 2023 18:45:45.849')
Sat0_1:59:7:('2 Jun 2023 20:20:50.783', '2 Jun 2023 20:24:58.191')
Sat0_1:59:8:('2 Jun 2023 21:59:42.969', '2 Jun 2023 22:03:11.068')
Sat0_1:59:9:('3 Jun 2023 16:39:07.435', '3 Jun 2023 16:43:23.261')
Sat0_1:59:10:('3 Jun 2023 18:18:08.508', '3 Jun 2023 18:21:56.241')
Sat0_1:59:11:('3 Jun 2023 19:57:04.444', '3 Jun 2023 20:01:02.042')
Sat0_1:59:12:('3 Jun 2023 21:35:42.967', '3 Jun 2023 21:39:43.518')
Sat0_1:59:13:('4 Jun 2023 16:15:28.624', '4 Jun 2023 16:19:30.709')
Sat0_1:59:14:('4 Jun 2023 17:54:11.725', '4 Jun 2023 17:58:08.619')
Sat0_1:59:15:('4 Jun 2023 19:33:16.938', '4 Jun 2023 19:37:05.255')
Sat0_1:59:16:('4 Jun 2023 21:11:50.057', '4 Jun 2023 21:16:05.315')
Sat0_1:59:17:('5 Jun 2023 15:52:00.145', '5 Jun 2023 15:55:31.389')
Sat0_1:59:18:('5 Jun 2023 17:30:15.481', '5 Jun 2023 17:34:22.224')
Sat0_1:59:19:('5 Jun 2023 19:09:27.490', '5 Jun 2023 19:13:09.162')
Sat0_1:59:20:('5 Jun 2023 20:48:01.037', '5 Jun 2023 20:52:19.863')
Sat0_1:59:21:('6 Jun 2023 15:28:50.156', '6 Jun 2023 15:31:17.282')
Sat0_1:59:22:('6 Jun 2023 17:06:21.225', '6 Jun 2023 17:10:36.115')
Sat0_1:59:23:('6 Jun 2023 18:45:35.632', '6 Jun 2023 18:49:14.839')
Sat0_1:59:24:('6 Jun 2023 20:24:14.116', '6 Jun 2023 20:28:29.230')
Sat0_1:59:25:('6 Jun 2023 22:03:34.471', '6 Jun 2023 22:05:58.190')
Sat0_1:59:26:('7 Jun 2023 16:42:30.442', '7 Jun 2023 16:46:49.242')
Sat0_1:59:27:('7 Jun 2023 18:21:41.387', '7 Jun 2023 18:25:22.895')
